order_id,customer_id,product_id,quantity,unit_price,order_date,shipping_city,order_status
O000001,C00971,P0142,1,152.07,2026-03-12 16:06:00,Hyderabad,Delivered
O000002,C00597,P0096,4,8076.83,2026-06-25 00:36:00,Bengaluru,Processing
O000003,C02889,P0417,2,4565.4,2026-06-09 04:23:00,Delhi,Returned
O000004,C02409,P0398,2,3448.99,2026-03-01 13:14:00,Kochi,Shipped
O000005,C00385,P0054,2,8384.65,2026-03-16 04:49:00,Delhi,Delivered
O000006,C02931,P0258,4,2488.26,2026-04-22 07:49:00,Mumbai,Delivered
O000007,C02888,P0151,4,5217.03,2026-02-03 17:08:00,Coimbatore,Delivered
O000008,C02257,P0084,1,1223.23,2026-02-21 04:05:00,Mumbai,Returned
O000009,C02133,P0705,3,3427.16,2026-02-19 12:26:00,Bengaluru,Delivered
O000010,C01431,P0197,2,1254.11,2026-06-22 14:37:00,Delhi,Shipped
O000011,C01155,P0510,4,1916.1,2026-05-15 17:51:00,Bengaluru,Shipped
O000012,C01357,P0305,1,1076.57,2026-06-05 17:46:00,Bengaluru,Returned
O000013,C00463,P0547,2,3808.05,2026-02-24 19:23:00,Delhi,Delivered
O000014,C00609,P0504,2,2455.83,2026-02-03 18:53:00,Pune,Shipped
O000015,C00922,P0659,2,7727.73,2026-06-30 23:52:00,Mumbai,Returned
O000016,C01255,P0328,1,9147.78,2026-02-22 18:05:00,Delhi,Returned
O000017,C01526,P0051,3,3973.71,2026-03-15 09:36:00,Pune,Delivered
O000018,C02823,P0344,3,2669.28,2026-05-05 11:01:00,Coimbatore,Processing
O000019,C00750,P0197,3,1254.11,2026-01-29 06:52:00,Hyderabad,Returned
O000020,C00167,P0635,4,4059.59,2026-01-09 05:23:00,Coimbatore,Processing
O000021,C02516,P0598,1,6993.13,2026-03-13 23:01:00,Coimbatore,Delivered
O000022,C02827,P0013,4,3585.81,2026-01-26 16:06:00,Mumbai,Returned
O000023,C02315,P0527,4,4964.39,2026-05-07 12:09:00,Kochi,Shipped
O000024,C01568,P0705,1,3427.16,2026-01-01 09:25:00,Delhi,Processing
O000025,C01245,P0769,3,4342.42,2026-05-08 20:42:00,Kochi,Processing
O000026,C02033,P0144,3,9682.77,2026-02-28 15:54:00,Hyderabad,Shipped
O000027,C00851,P0466,2,4158.95,2026-04-12 23:29:00,Pune,Processing
O000028,C01848,P0206,2,7412.93,2026-03-07 10:39:00,Bengaluru,Processing
O000029,C01951,P0584,1,8485.47,2026-02-11 05:25:00,Coimbatore,Returned
O000030,C01289,P0606,1,3619.28,2026-03-16 22:09:00,Mumbai,Shipped
O000031,C02448,P0427,2,7722.75,2026-01-12 02:03:00,Mumbai,Delivered
O000032,C00589,P0796,3,4753.83,2026-05-11 12:45:00,Hyderabad,Shipped
O000033,C00210,P0320,2,5892.08,2026-06-03 16:32:00,Coimbatore,Delivered
O000034,C02359,P0521,3,4330.23,2026-03-02 17:19:00,Pune,Returned
O000035,C01783,P0023,3,7075.84,2026-01-09 02:36:00,Kochi,Shipped
O000036,C01104,P0506,4,6514.66,2026-05-08 19:00:00,Hyderabad,Shipped
O000037,C00912,P0439,4,9228.23,2026-04-08 20:46:00,Chennai,Shipped
O000038,C01629,P0270,1,8731.95,2026-01-02 11:17:00,Coimbatore,Shipped
O000039,C02236,P0115,1,6337.55,2026-03-17 22:46:00,Mumbai,Processing
O000040,C01985,P0796,3,4753.83,2026-01-07 11:10:00,Bengaluru,Delivered
O000041,C02823,P0758,3,3142.11,2026-01-27 11:22:00,Coimbatore,Processing
O000042,C00053,P0620,4,7558.73,2026-01-16 08:16:00,Bengaluru,Processing
O000043,C02595,P0430,2,2345.57,2026-04-29 00:21:00,Bengaluru,Returned
O000044,C00073,P0078,3,9351.9,2026-01-11 01:59:00,Kochi,Delivered
O000045,C00430,P0498,3,3416.54,2026-03-04 15:02:00,Chennai,Shipped
O000046,C00394,P0570,4,1364.83,2026-05-04 08:56:00,Delhi,Delivered
O000047,C02520,P0572,3,6659.16,2026-05-02 19:42:00,Bengaluru,Returned
O000048,C02691,P0373,2,9052.26,2026-01-20 23:13:00,Hyderabad,Delivered
O000049,C01190,P0372,3,5991.23,2026-01-17 14:22:00,Coimbatore,Processing
O000050,C01000,P0220,2,8346.5,2026-05-14 18:14:00,Delhi,Shipped
O000051,C01892,P0396,1,2039.28,2026-01-11 20:14:00,Hyderabad,Returned
O000052,C00431,P0259,4,7345.66,2026-05-22 04:41:00,Pune,Returned
O000053,C01445,P0748,4,3169.59,2026-01-25 20:03:00,Mumbai,Returned
O000054,C02597,P0192,2,8778.88,2026-01-14 23:26:00,Delhi,Returned
O000055,C02842,P0350,3,5219.84,2026-05-02 18:44:00,Chennai,Returned
O000056,C00386,P0666,4,9941.8,2026-03-23 18:55:00,Coimbatore,Processing
O000057,C00806,P0103,1,8429.58,2026-01-10 21:09:00,Mumbai,Shipped
O000058,C00673,P0165,1,384.86,2026-04-15 09:58:00,Delhi,Returned
O000059,C00089,P0183,4,4734.37,2026-06-16 14:36:00,Kochi,Returned
O000060,C02524,P0177,2,4946.27,2026-04-17 02:53:00,Delhi,Processing
O000061,C00338,P0731,1,5565.29,2026-02-16 17:10:00,Bengaluru,Shipped
O000062,C01652,P0612,2,3735.5,2026-05-11 23:27:00,Hyderabad,Delivered
O000063,C01785,P0181,3,9734.39,2026-06-02 22:20:00,Kochi,Shipped
O000064,C02291,P0785,1,9579.4,2026-03-01 02:32:00,Hyderabad,Processing
O000065,C02574,P0110,2,8676.8,2026-02-13 14:42:00,Kochi,Processing
O000066,C02156,P0658,1,6391.79,2026-06-29 15:04:00,Delhi,Returned
O000067,C02383,P0179,2,8127.84,2026-03-30 15:58:00,Hyderabad,Shipped
O000068,C00959,P0435,4,1474.61,2026-05-16 03:39:00,Mumbai,Shipped
O000069,C00072,P0228,3,1293.81,2026-06-26 07:30:00,Mumbai,Shipped
O000070,C00567,P0336,4,2292.06,2026-01-13 01:23:00,Coimbatore,Delivered
O000071,C00364,P0651,1,4819.93,2026-02-17 08:20:00,Delhi,Delivered
O000072,C00871,P0492,1,6612.82,2026-01-20 21:29:00,Kochi,Shipped
O000073,C00358,P0171,2,1015.26,2026-03-09 21:21:00,Delhi,Shipped
O000074,C02795,P0765,4,1777.63,2026-03-31 04:21:00,Delhi,Delivered
O000075,C00318,P0062,1,2738.53,2026-04-24 21:48:00,Chennai,Processing
O000076,C00732,P0341,1,5733.11,2026-03-31 01:44:00,Coimbatore,Delivered
O000077,C02362,P0604,1,6814.35,2026-01-18 20:44:00,Delhi,Returned
O000078,C01318,P0120,1,6904.92,2026-05-11 12:40:00,Bengaluru,Delivered
O000079,C02842,P0086,1,5641.27,2026-03-24 00:47:00,Chennai,Processing
O000080,C00679,P0110,2,8676.8,2026-03-29 02:02:00,Kochi,Delivered
O000081,C00683,P0117,4,1196.2,2026-03-26 02:02:00,Kochi,Shipped
O000082,C01915,P0405,1,2546.0,2026-02-19 19:19:00,Coimbatore,Delivered
O000083,C01987,P0604,2,6814.35,2026-05-23 00:16:00,Mumbai,Returned
O000084,C02415,P0632,1,6060.23,2026-03-14 20:39:00,Kochi,Shipped
O000085,C00441,P0505,1,1428.24,2026-01-09 09:24:00,Coimbatore,Processing
O000086,C01242,P0114,1,4586.29,2026-03-07 13:01:00,Mumbai,Delivered
O000087,C01303,P0507,4,8483.65,2026-01-17 01:26:00,Kochi,Processing
O000088,C00932,P0569,3,3008.24,2026-05-19 08:10:00,Delhi,Processing
O000089,C00268,P0611,2,7798.54,2026-04-30 11:27:00,Bengaluru,Shipped
O000090,C00758,P0428,3,9462.57,2026-05-02 20:57:00,Hyderabad,Delivered
O000091,C00751,P0363,2,3200.47,2026-06-24 06:35:00,Chennai,Processing
O000092,C01383,P0488,1,9348.84,2026-05-28 02:23:00,Delhi,Returned
O000093,C00792,P0564,3,3746.46,2026-04-18 06:32:00,Hyderabad,Returned
O000094,C00144,P0277,3,3757.9,2026-05-16 11:17:00,Chennai,Delivered
O000095,C02234,P0103,3,8429.58,2026-03-31 15:22:00,Mumbai,Returned
O000096,C01929,P0087,1,2098.71,2026-04-24 15:24:00,Mumbai,Processing
O000097,C01746,P0484,4,8222.21,2026-02-03 15:45:00,Kochi,Delivered
O000098,C02907,P0060,4,294.15,2026-01-27 01:09:00,Pune,Processing
O000099,C00136,P0177,2,4946.27,2026-01-06 16:08:00,Chennai,Shipped
O000100,C01430,P0721,2,4538.97,2026-05-24 13:19:00,Chennai,Shipped
O000101,C00269,P0513,3,5966.04,2026-06-09 15:56:00,Delhi,Delivered
O000102,C02954,P0010,4,9207.97,2026-06-16 19:09:00,Hyderabad,Returned
O000103,C01757,P0120,1,6904.92,2026-01-16 17:46:00,Coimbatore,Processing
O000104,C01068,P0252,4,7003.96,2026-03-25 10:44:00,Chennai,Delivered
O000105,C01798,P0765,3,1777.63,2026-05-15 03:23:00,Kochi,Processing
O000106,C01253,P0307,2,2471.27,2026-06-01 08:56:00,Mumbai,Processing
O000107,C02467,P0421,2,8440.77,2026-04-13 13:36:00,Kochi,Shipped
O000108,C00888,P0425,3,7476.59,2026-01-25 19:58:00,Delhi,Delivered
O000109,C00935,P0732,2,5381.3,2026-02-18 09:32:00,Bengaluru,Processing
O000110,C01307,P0082,3,2741.65,2026-02-16 19:35:00,Hyderabad,Shipped
O000111,C01889,P0474,4,8400.11,2026-06-23 15:29:00,Delhi,Delivered
O000112,C01514,P0195,4,873.38,2026-01-31 13:23:00,Chennai,Delivered
