inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
INV000001,P0164,W05,436,25,2026-07-27
INV000002,P0057,W08,262,37,2026-07-14
INV000003,P0681,W04,494,29,2026-07-22
INV000004,P0222,W03,407,53,2026-07-26
INV000005,P0108,W02,30,26,2026-07-22
INV000006,P0182,W03,437,64,2026-07-19
INV000007,P0709,W02,213,48,2026-07-07
INV000008,P0717,W05,172,47,2026-07-24
INV000009,P0306,W03,327,34,2026-07-01
INV000010,P0383,W06,277,96,2026-07-28
INV000011,P0112,W02,312,88,2026-07-08
INV000012,P0126,W01,461,49,2026-07-02
INV000013,P0766,W06,76,77,2026-07-01
INV000014,P0208,W05,130,28,2026-07-18
INV000015,P0654,W05,156,27,2026-07-23
INV000016,P0308,W04,261,20,2026-07-16
INV000017,P0364,W06,460,54,2026-07-31
INV000018,P0758,W01,170,100,2026-07-25
INV000019,P0777,W06,342,100,2026-07-11
INV000020,P0571,W07,426,58,2026-07-09
INV000021,P0324,W03,205,56,2026-07-13
INV000022,P0374,W01,243,41,2026-07-25
INV000023,P0724,W04,46,51,2026-07-29
INV000024,P0280,W02,313,32,2026-07-21
INV000025,P0446,W03,287,85,2026-07-10
INV000026,P0281,W04,190,82,2026-07-25
INV000027,P0345,W04,356,28,2026-07-10
INV000028,P0567,W01,269,32,2026-07-02
INV000029,P0164,W07,66,49,2026-07-31
INV000030,P0656,W04,106,38,2026-07-20
INV000031,P0419,W02,303,51,2026-07-30
INV000032,P0021,W01,67,25,2026-07-15
INV000033,P0628,W01,198,57,2026-07-15
INV000034,P0213,W06,365,87,2026-07-02
INV000035,P0024,W02,379,80,2026-07-09
INV000036,P0313,W02,375,31,2026-07-15
INV000037,P0043,W08,80,50,2026-07-29
INV000038,P0025,W05,206,71,2026-07-14
INV000039,P0161,W02,300,96,2026-07-15
INV000040,P0524,W04,177,85,2026-07-21
INV000041,P0788,W05,98,55,2026-07-21
INV000042,P0096,W08,221,63,2026-07-02
INV000043,P0252,W07,8,41,2026-07-20
INV000044,P0083,W04,10,64,2026-07-22
INV000045,P0124,W03,238,28,2026-07-20
INV000046,P0543,W02,30,94,2026-07-25
INV000047,P0528,W05,402,53,2026-07-26
INV000048,P0417,W06,407,37,2026-07-10
INV000049,P0649,W03,218,65,2026-07-05
INV000050,P0206,W05,109,27,2026-07-10
INV000051,P0044,W07,447,48,2026-07-05
INV000052,P0357,W03,288,67,2026-07-13
INV000053,P0607,W02,7,45,2026-07-12
INV000054,P0164,W05,369,33,2026-07-12
INV000055,P0291,W05,232,99,2026-07-23
INV000056,P0722,W06,418,86,2026-07-03
INV000057,P0715,W06,355,20,2026-07-04
INV000058,P0168,W01,268,46,2026-07-17
INV000059,P0591,W03,50,28,2026-07-14
INV000060,P0200,W05,253,21,2026-07-29
INV000061,P0122,W07,395,66,2026-07-09
INV000062,P0124,W04,344,85,2026-07-09
INV000063,P0136,W04,321,73,2026-07-26
INV000064,P0219,W02,242,72,2026-07-21
INV000065,P0744,W02,290,80,2026-07-07
INV000066,P0011,W02,156,28,2026-07-04
INV000067,P0098,W01,417,99,2026-07-31
INV000068,P0302,W01,341,62,2026-07-14
INV000069,P0485,W06,258,72,2026-07-09
INV000070,P0704,W01,255,99,2026-07-13
INV000071,P0122,W05,392,26,2026-07-09
INV000072,P0191,W02,417,31,2026-07-14
INV000073,P0734,W04,111,55,2026-07-22
INV000074,P0061,W02,220,71,2026-07-08
INV000075,P0222,W02,117,96,2026-07-07
INV000076,P0226,W08,99,71,2026-07-03
INV000077,P0508,W05,134,88,2026-07-19
INV000078,P0619,W04,190,89,2026-07-29
INV000079,P0502,W05,332,54,2026-07-17
INV000080,P0349,W04,61,37,2026-07-09
INV000081,P0783,W02,254,67,2026-07-20
INV000082,P0772,W02,409,73,2026-07-10
INV000083,P0780,W08,327,23,2026-07-10
INV000084,P0443,W05,373,22,2026-07-31
INV000085,P0056,W02,393,55,2026-07-29
INV000086,P0604,W02,102,51,2026-07-16
