transaction_id,store_id,product_id,customer_id,quantity,unit_price,transaction_date,payment_method
T000001,S002,P0679,C00304,5,4970.26,2026-04-19 05:21:00,Card
T000002,S022,P0136,C01008,1,9081.55,2026-03-11 03:08:00,UPI
T000003,S022,P0401,C01960,5,8837.96,2026-05-14 12:53:00,Wallet
T000004,S021,P0025,C01583,4,4622.76,2026-02-02 07:13:00,Wallet
T000005,S005,P0210,C01374,2,8500.3,2026-04-13 21:07:00,Card
T000006,S004,P0204,C02802,4,951.33,2026-01-15 07:28:00,Cash
T000007,S005,P0600,C00637,1,8512.12,2026-04-11 06:16:00,Wallet
T000008,S021,P0652,C02117,3,6896.92,2026-05-24 20:39:00,Cash
T000009,S003,P0425,C00904,4,7476.59,2026-01-20 23:38:00,UPI
T000010,S010,P0293,C00624,5,9576.2,2026-04-30 16:17:00,Card
T000011,S024,P0023,C00165,1,7075.84,2026-03-22 22:16:00,Card
T000012,S019,P0465,C01379,2,856.68,2026-06-14 13:49:00,Card
T000013,S007,P0250,C02880,1,9100.39,2026-04-08 05:37:00,Card
T000014,S020,P0266,C01792,3,4596.66,2026-01-14 12:40:00,Wallet
T000015,S005,P0390,C02510,2,1923.02,2026-06-15 14:28:00,Wallet
T000016,S004,P0774,C02193,3,1562.02,2026-02-19 09:12:00,Wallet
T000017,S022,P0675,C02269,2,8934.69,2026-01-28 03:33:00,Wallet
T000018,S003,P0423,C01403,5,805.35,2026-01-20 12:22:00,Cash
T000019,S002,P0216,C02146,2,304.99,2026-06-04 11:27:00,UPI
T000020,S013,P0101,C01126,1,8805.39,2026-01-08 08:10:00,Cash
T000021,S013,P0168,C02869,4,3315.66,2026-03-14 05:33:00,Cash
T000022,S008,P0189,C01766,4,2622.12,2026-05-19 03:38:00,Cash
T000023,S006,P0066,C00592,4,5076.41,2026-01-17 07:13:00,Cash
T000024,S008,P0324,C01415,2,6142.41,2026-06-02 00:22:00,Wallet
T000025,S011,P0375,C02756,4,1939.64,2026-03-21 06:24:00,Wallet
T000026,S009,P0629,C01923,4,6100.1,2026-05-22 06:53:00,Wallet
T000027,S014,P0524,C01203,5,5664.21,2026-06-13 01:06:00,Card
T000028,S010,P0169,C01142,5,8645.46,2026-03-03 09:11:00,Cash
T000029,S014,P0124,C00089,3,9076.76,2026-01-22 19:27:00,Card
T000030,S019,P0323,C00024,4,7277.23,2026-05-25 01:31:00,Card
T000031,S013,P0582,C01716,3,1360.43,2026-05-25 16:30:00,Cash
T000032,S014,P0113,C00586,1,3582.38,2026-01-12 01:38:00,Card
T000033,S023,P0769,C01833,4,4342.42,2026-03-22 03:10:00,Wallet
T000034,S024,P0184,C02447,2,1570.2,2026-03-21 00:17:00,Cash
T000035,S015,P0720,C00090,5,8925.71,2026-04-02 09:38:00,Card
T000036,S005,P0264,C02806,3,7171.07,2026-04-12 17:04:00,UPI
T000037,S010,P0135,C02358,1,9762.67,2026-02-19 10:44:00,Wallet
T000038,S006,P0673,C01521,1,7405.45,2026-04-11 12:08:00,Card
T000039,S015,P0201,C01199,4,236.37,2026-02-03 23:59:00,UPI
T000040,S024,P0294,C01413,4,5075.12,2026-06-22 03:19:00,Wallet
T000041,S017,P0141,C01531,1,9316.54,2026-03-26 13:54:00,Cash
T000042,S015,P0715,C02685,1,962.59,2026-05-09 03:26:00,UPI
T000043,S017,P0209,C00943,5,3404.12,2026-05-09 05:07:00,Card
T000044,S018,P0096,C01199,4,8076.83,2026-01-07 20:02:00,Card
T000045,S015,P0793,C00996,2,3714.92,2026-04-08 16:16:00,Card
T000046,S023,P0711,C00230,5,1928.92,2026-05-31 01:16:00,Cash
T000047,S016,P0325,C00263,4,9797.44,2026-03-16 05:30:00,Wallet
T000048,S001,P0785,C02990,4,9579.4,2026-02-08 23:17:00,Wallet
T000049,S022,P0202,C01668,2,8603.22,2026-04-29 02:41:00,Card
T000050,S001,P0533,C01747,2,9271.54,2026-06-10 03:11:00,UPI
T000051,S001,P0069,C00567,2,2943.82,2026-03-01 07:21:00,UPI
T000052,S010,P0738,C02769,5,9853.09,2026-06-24 22:19:00,Cash
T000053,S025,P0130,C01589,3,7163.28,2026-02-06 05:29:00,Card
T000054,S015,P0210,C00871,4,8500.3,2026-05-09 17:37:00,Wallet
T000055,S023,P0024,C02087,2,3347.34,2026-06-05 22:14:00,Wallet
T000056,S023,P0511,C02965,1,791.85,2026-05-14 11:39:00,Card
T000057,S021,P0391,C00036,3,828.94,2026-04-25 04:28:00,Cash
T000058,S020,P0622,C01172,4,8024.08,2026-03-28 09:55:00,Card
T000059,S014,P0025,C02304,3,4622.76,2026-04-03 21:16:00,Cash
T000060,S004,P0582,C02930,1,1360.43,2026-04-21 01:21:00,Card
T000061,S012,P0150,C01072,5,2899.96,2026-06-24 13:13:00,UPI
T000062,S002,P0578,C00882,3,6474.47,2026-03-03 07:07:00,UPI
T000063,S010,P0080,C00444,3,7488.69,2026-06-06 20:42:00,Wallet
T000064,S017,P0113,C01947,3,3582.38,2026-01-20 05:12:00,UPI
T000065,S017,P0554,C00200,2,4902.42,2026-05-26 21:25:00,UPI
T000066,S002,P0293,C01046,1,9576.2,2026-05-08 03:19:00,Cash
T000067,S003,P0063,C01114,2,9858.07,2026-01-04 04:52:00,Cash
T000068,S011,P0416,C01577,5,4705.01,2026-03-21 18:40:00,UPI
T000069,S007,P0704,C00875,3,4131.24,2026-01-23 17:01:00,UPI
T000070,S016,P0282,C02110,2,119.65,2026-01-25 15:31:00,Cash
T000071,S017,P0470,C01310,3,205.3,2026-03-22 05:47:00,UPI
T000072,S021,P0202,C00173,5,8603.22,2026-03-17 05:30:00,UPI
T000073,S011,P0106,C01652,5,176.87,2026-01-18 09:33:00,Wallet
T000074,S016,P0289,C01833,1,9583.99,2026-05-28 12:24:00,Wallet
T000075,S003,P0563,C01075,1,6057.9,2026-04-01 03:02:00,UPI
T000076,S013,P0159,C01895,1,8365.04,2026-01-19 06:06:00,Card
T000077,S014,P0496,C02875,1,9815.02,2026-04-28 08:48:00,UPI
T000078,S013,P0110,C01499,5,8676.8,2026-05-02 08:44:00,Wallet
T000079,S003,P0530,C01731,1,9327.08,2026-04-24 22:11:00,Wallet
T000080,S019,P0395,C01797,3,3463.19,2026-02-05 04:13:00,Card
T000081,S014,P0680,C00816,2,4165.12,2026-05-26 16:39:00,UPI
T000082,S001,P0488,C00171,3,9348.84,2026-01-11 12:24:00,Cash
T000083,S007,P0550,C00850,3,2666.58,2026-03-15 13:41:00,Cash
T000084,S003,P0366,C02637,5,6806.89,2026-04-15 21:09:00,Cash
T000085,S023,P0433,C01341,4,4344.05,2026-06-24 04:24:00,Card
T000086,S012,P0559,C01514,2,3769.77,2026-04-23 12:31:00,Card
T000087,S025,P0254,C02370,5,7277.48,2026-05-12 21:19:00,Card
T000088,S013,P0290,C00653,4,8671.94,2026-03-22 12:45:00,Card
T000089,S011,P0097,C01918,4,1527.35,2026-01-22 23:17:00,UPI
T000090,S018,P0069,C02791,3,2943.82,2026-04-16 17:16:00,Cash
T000091,S016,P0436,C01753,5,5047.02,2026-04-26 08:58:00,Card
T000092,S005,P0005,C00830,1,6938.1,2026-06-24 01:27:00,Cash
T000093,S006,P0210,C00646,4,8500.3,2026-06-08 21:58:00,Wallet
T000094,S019,P0773,C01574,4,8629.97,2026-01-15 08:21:00,Card
T000095,S021,P0262,C01298,1,9830.21,2026-06-29 19:08:00,Cash
T000096,S006,P0757,C02909,1,4855.21,2026-01-03 05:16:00,Cash
T000097,S010,P0129,C02122,3,8288.85,2026-01-27 09:55:00,Wallet
T000098,S018,P0110,C00978,1,8676.8,2026-04-07 05:24:00,Wallet
T000099,S019,P0196,C00032,5,4393.61,2026-05-26 13:37:00,Wallet
T000100,S021,P0129,C02958,1,8288.85,2026-01-19 07:36:00,Wallet
T000101,S023,P0784,C00917,5,2111.47,2026-04-10 15:46:00,Card
T000102,S015,P0496,C01947,4,9815.02,2026-06-21 03:11:00,UPI
